Subject,Relation,Object
温度,FEATURE_FAILURE,异响
探岳X,HAS_UNIT,变速箱
探岳X,HAS_UNIT,传感器
汉兰达,HAS_UNIT,发动机
标致301,HAS_UNIT,发动机
标致301,HAS_UNIT,传感器
发动机,UNIT_FAILURE,报警
传感器,UNIT_FAILURE,报警
长安CS75,HAS_UNIT,变速箱
长安CS75,HAS_UNIT,发动机
蒙迪欧,HAS_UNIT,发动机
途观L,HAS_UNIT,变速箱
途观L,HAS_UNIT,传感器
宝马X3,HAS_UNIT,发动机
探界者,HAS_UNIT,变速箱
探界者,HAS_UNIT,发动机
星瑞,HAS_UNIT,电机
电机,UNIT_FAILURE,异响
速派,HAS_UNIT,变速箱
福克斯,HAS_UNIT,变速箱
维特拉,HAS_UNIT,发动机
维特拉,HAS_UNIT,助力泵
奥迪Q5L,HAS_UNIT,发动机
电池,UNIT_FAILURE,无法启动
长安CS55 PLUS,HAS_UNIT,发动机
红旗HS5,HAS_UNIT,变速箱
红旗HS5,HAS_UNIT,发动机
奥拓,HAS_UNIT,变速箱
马自达3 昂克赛拉,HAS_UNIT,发动机
风骏5,HAS_UNIT,发动机
迈锐宝XL,HAS_UNIT,发动机
迈锐宝XL,HAS_UNIT,冷却系统
发动机,COMPOSED_OF,冷却系统
星越L,HAS_UNIT,变速箱
压力,FEATURE_FAILURE,无法启动
探岳X,HAS_UNIT,发动机
发动机,COMPOSED_OF,水泵
长安CS55 PLUS,HAS_UNIT,电机
轩逸,HAS_UNIT,变速箱
高尔夫,HAS_UNIT,变速箱
高尔夫,HAS_UNIT,发动机
高尔夫,HAS_UNIT,传感器
凌派,HAS_UNIT,发动机
凌派,HAS_UNIT,传感器
长安欧尚Z6,HAS_UNIT,变速箱
宝马X3,HAS_UNIT,空调
星越L,HAS_UNIT,燃油泵
星越L,HAS_UNIT,轴承
燃油泵,COMPOSED_OF,轴承
长安CS35 PLUS,HAS_UNIT,传感器
优优EV,HAS_UNIT,电池
优优EV,HAS_UNIT,动力电池
帝豪GS,HAS_UNIT,变速箱
奇骏,HAS_UNIT,发动机
电机,UNIT_FAILURE,报警
电机,UNIT_FAILURE,无法启动
发动机,UNIT_FAILURE,无法启动
电机,COMPOSED_OF,发动机
欧蓝德,HAS_UNIT,发动机
风骏7,HAS_UNIT,转向机
凯越,HAS_UNIT,变速箱
轩逸,HAS_UNIT,发动机
轩逸,HAS_UNIT,传感器
传感器,UNIT_FAILURE,无法启动
C4世嘉,HAS_UNIT,发动机
发动机,UNIT_FAILURE,卡死
探险者,HAS_UNIT,燃油泵
探险者,HAS_UNIT,发动机
燃油泵,UNIT_FAILURE,异响
英仕派,HAS_UNIT,电池
电池,UNIT_FAILURE,熄火
发动机,UNIT_FAILURE,熄火
电池,COMPOSED_OF,发动机
YARiS L 致炫,HAS_UNIT,变速箱
星瑞,HAS_UNIT,变速箱
宝骏RS-3,HAS_UNIT,发动机
星越L,HAS_UNIT,空调
标致408,HAS_UNIT,发动机
宝来,HAS_UNIT,电机
宝来,HAS_UNIT,空调
宝来,HAS_UNIT,传感器
电机,COMPOSED_OF,空调
捷达VA3,HAS_UNIT,变速箱
朗逸,HAS_UNIT,变速箱
型格,HAS_UNIT,变速箱
型格,HAS_UNIT,发动机
宝马3系,HAS_UNIT,电池
魏牌 VV7 GT,HAS_UNIT,发动机
帝豪,HAS_UNIT,轴承
锋范,HAS_UNIT,发动机
锋范,HAS_UNIT,传感器
狮铂拓界,HAS_UNIT,发动机
发动机,UNIT_FAILURE,降低
长安CS95,HAS_UNIT,变速箱
北京X7,HAS_UNIT,发动机
压力,FEATURE_FAILURE,漏油
标致508,HAS_UNIT,发动机
压力,FEATURE_FAILURE,卡死
压力,FEATURE_FAILURE,报警
博越L,HAS_UNIT,变速箱
博越L,HAS_UNIT,发动机
汉兰达,HAS_UNIT,电机
翼搏,HAS_UNIT,发动机
途昂,HAS_UNIT,变速箱
途昂,HAS_UNIT,发动机
哈弗神兽,HAS_UNIT,电池
探岳,HAS_UNIT,变速箱
朗逸,HAS_UNIT,空调
速腾,HAS_UNIT,变速箱
领动,HAS_UNIT,传感器
卡罗拉,HAS_UNIT,发动机
卡罗拉,HAS_UNIT,传感器
缤越,HAS_UNIT,转向机
星越L,HAS_UNIT,电池
星越L,HAS_UNIT,动力电池
凯迪拉克ATS-L,HAS_UNIT,空调
逸动,HAS_UNIT,发动机
逸动,HAS_UNIT,传感器
英朗,HAS_UNIT,发动机
众泰T600,HAS_UNIT,变速箱
柯迪亚克,HAS_UNIT,变速箱
宝马3系,HAS_UNIT,发动机
启悦,HAS_UNIT,发动机
发动机,UNIT_FAILURE,高温
宝骏560,HAS_UNIT,发动机
宝骏560,HAS_UNIT,传感器
标致508,HAS_UNIT,转向机
型格,HAS_UNIT,转向机
马自达3 昂克赛拉,HAS_UNIT,助力泵
助力泵,UNIT_FAILURE,熄火
缤瑞,HAS_UNIT,发动机
迈锐宝XL,HAS_UNIT,变速箱
速腾,HAS_UNIT,传感器
瑞虎8 PLUS,HAS_UNIT,转向机
迈腾,HAS_UNIT,发动机
智跑,HAS_UNIT,发动机
阿特兹,HAS_UNIT,发动机
阿特兹,HAS_UNIT,传感器
宝骏530,HAS_UNIT,发动机
宝骏530,HAS_UNIT,水泵
奥迪Q3,HAS_UNIT,电池
奥迪Q3,HAS_UNIT,电机
雅阁,HAS_UNIT,传感器
福克斯,HAS_UNIT,传感器
博越,HAS_UNIT,变速箱
电机,UNIT_FAILURE,断裂
汉兰达,HAS_UNIT,差速器
差速器,UNIT_FAILURE,异响
变速箱,COMPOSED_OF,差速器
捷途X90 PLUS,HAS_UNIT,转向机
万用表,DETECTS,电流
名爵6,HAS_UNIT,变速箱
奥拓,HAS_UNIT,发动机
奥拓,HAS_UNIT,传感器
秦PLUS,HAS_UNIT,电池
秦PLUS,HAS_UNIT,发动机
秦PLUS,HAS_UNIT,动力电池
皓影,HAS_UNIT,电池
艾瑞泽8,HAS_UNIT,变速箱
雷凌,HAS_UNIT,电机
北京BJ40,HAS_UNIT,变速箱
传祺GS8,HAS_UNIT,发动机
传祺GS8,HAS_UNIT,冷却系统
传祺GS8,HAS_UNIT,传感器
传祺GS8,HAS_UNIT,水泵
逸动,HAS_UNIT,变速箱
名爵6,HAS_UNIT,电池
名爵6,HAS_UNIT,发动机
电池,UNIT_FAILURE,异响
奥迪A6L,HAS_UNIT,变速箱
艾瑞泽GX,HAS_UNIT,发动机
差速器,UNIT_FAILURE,漏油
昂科威,HAS_UNIT,变速箱
嘉年华,HAS_UNIT,空调
东南DX7,HAS_UNIT,发动机
锐程CC,HAS_UNIT,发动机
标致408,HAS_UNIT,电池
皇冠陆放,HAS_UNIT,发动机
卡罗拉,HAS_UNIT,空调
悦动,HAS_UNIT,变速箱
C4世嘉,HAS_UNIT,转向机
威朗,HAS_UNIT,转向机
阅朗,HAS_UNIT,转向机
领克01,HAS_UNIT,电机
帝豪GL,HAS_UNIT,发动机
英朗,HAS_UNIT,变速箱
飞度,HAS_UNIT,变速箱
飞度,HAS_UNIT,发动机
变速箱,UNIT_FAILURE,降低
奥迪A4L,HAS_UNIT,冷却系统
奥迪A4L,HAS_UNIT,水泵
冷却系统,COMPOSED_OF,水泵
蒙迪欧,HAS_UNIT,转向机
转向机,UNIT_FAILURE,抖动
宝来,HAS_UNIT,变速箱
宝来,HAS_UNIT,发动机
SWM斯威G01,HAS_UNIT,变速箱
奥迪A3,HAS_UNIT,空调
途岳,HAS_UNIT,发动机
途岳,HAS_UNIT,助力泵
发动机,UNIT_FAILURE,断裂
迈锐宝,HAS_UNIT,变速箱
帕萨特,HAS_UNIT,转向机
奥迪Q5,HAS_UNIT,变速箱
瑞虎8,HAS_UNIT,空调
荣威RX5,HAS_UNIT,发动机
标致3008,HAS_UNIT,发动机
景逸X6,HAS_UNIT,发动机
东风风神E70,HAS_UNIT,电池
速腾,HAS_UNIT,电机
朗逸,HAS_UNIT,电池
朗逸,HAS_UNIT,动力电池
北京BJ40,HAS_UNIT,传感器
明锐,HAS_UNIT,发动机
哈弗H2,HAS_UNIT,转向机
途观L,HAS_UNIT,空调
变速箱,COMPOSED_OF,空调
捷达VS5,HAS_UNIT,发动机
瑞虎8 PRO,HAS_UNIT,变速箱
宝马3系,HAS_UNIT,变速箱
甲壳虫,HAS_UNIT,燃油泵
甲壳虫,HAS_UNIT,电池
甲壳虫,HAS_UNIT,发动机
甲壳虫,HAS_UNIT,传感器
燃油泵,UNIT_FAILURE,无法启动
燃油泵,COMPOSED_OF,电池
奥迪Q3,HAS_UNIT,发动机
标致408,HAS_UNIT,燃油泵
奥迪A4L,HAS_UNIT,发动机
雅阁,HAS_UNIT,空调
哈弗F5,HAS_UNIT,传感器
艾瑞泽5,HAS_UNIT,电机
艾瑞泽5,HAS_UNIT,发动机
电机,UNIT_FAILURE,抖动
电压,FEATURE_FAILURE,抖动
RAV4荣放,HAS_UNIT,发动机
汉兰达,HAS_UNIT,空调
哈弗H6,HAS_UNIT,电池
海豚,HAS_UNIT,电池
海豚,HAS_UNIT,电机
海豚,HAS_UNIT,动力电池
极氪001,HAS_UNIT,电机
标致3008,HAS_UNIT,水泵
哈弗H2s,HAS_UNIT,传感器
宝骏560,HAS_UNIT,变速箱
五菱星辰,HAS_UNIT,传感器
传感器,UNIT_FAILURE,熄火
风光580Pro,HAS_UNIT,变速箱
本田CR-V,HAS_UNIT,变速箱
本田CR-V,HAS_UNIT,发动机
领界,HAS_UNIT,变速箱
驱逐舰05,HAS_UNIT,变速箱
驱逐舰05,HAS_UNIT,发动机
科鲁泽,HAS_UNIT,发动机
瑞虎8 PLUS,HAS_UNIT,空调
压力,FEATURE_FAILURE,异响
轴承,COMPOSED_OF,转向机
传祺GS4,HAS_UNIT,发动机
传祺GS4,HAS_UNIT,助力泵
揽胜,HAS_UNIT,变速箱
雷凌,HAS_UNIT,发动机
雷凌,HAS_UNIT,传感器
蒙迪欧致胜,HAS_UNIT,变速箱
传感器,UNIT_FAILURE,抖动
传祺GS4,HAS_UNIT,变速箱
雅阁,HAS_UNIT,发动机
昂科威,HAS_UNIT,发动机
瑞纳,HAS_UNIT,发动机
分离器,UNIT_FAILURE,异响
分离器,COMPOSED_OF,发动机
嘉际,HAS_UNIT,空调
北京现代ix25,HAS_UNIT,发动机
力帆520,HAS_UNIT,发动机
艾瑞泽GX,HAS_UNIT,冷却系统
瑞虎8,HAS_UNIT,冷却系统
奥迪A4L,HAS_UNIT,传感器
传感器,UNIT_FAILURE,漏油
远景,HAS_UNIT,传感器
瑞虎7,HAS_UNIT,变速箱
宝骏730,HAS_UNIT,传感器
凯迪拉克CT5,HAS_UNIT,发动机
凯迪拉克CT5,HAS_UNIT,传感器
功率,FEATURE_FAILURE,抖动
帕萨特,HAS_UNIT,变速箱
科鲁兹,HAS_UNIT,变速箱
奕泽IZOA,HAS_UNIT,发动机
长安CS35 PLUS,HAS_UNIT,电机
EV系列,HAS_UNIT,电池
EV系列,HAS_UNIT,电机
EV系列,HAS_UNIT,动力电池
森雅R7,HAS_UNIT,发动机
长安UNI-T,HAS_UNIT,电池
起亚K2,HAS_UNIT,空调
威驰FS,HAS_UNIT,发动机
途昂X,HAS_UNIT,变速箱
凌尚,HAS_UNIT,燃油泵
凌尚,HAS_UNIT,电池
凌尚,HAS_UNIT,发动机
瑞虎8,HAS_UNIT,水泵
荣威i5,HAS_UNIT,传感器
奥德赛,HAS_UNIT,变速箱
传祺GA6,HAS_UNIT,变速箱
标致4008,HAS_UNIT,发动机
凌派,HAS_UNIT,轴承
雪铁龙C4L,HAS_UNIT,发动机
零跑C01,HAS_UNIT,电池
零跑C01,HAS_UNIT,动力电池
电池,UNIT_FAILURE,降低
动力电池,UNIT_FAILURE,降低
缤越,HAS_UNIT,变速箱
逍客,HAS_UNIT,变速箱
星越,HAS_UNIT,变速箱
领克01,HAS_UNIT,转向机
领动,HAS_UNIT,变速箱
君威,HAS_UNIT,燃油泵
传祺GS4,HAS_UNIT,冷却系统
传祺GS4,HAS_UNIT,水泵
探岳,HAS_UNIT,转向机
发动机,COMPOSED_OF,转向机
宋PLUS,HAS_UNIT,变速箱
瑞虎8,HAS_UNIT,发动机
领动,HAS_UNIT,转向机
五菱宏光,HAS_UNIT,发动机
五菱宏光,HAS_UNIT,传感器
传感器,UNIT_FAILURE,降低
别克GL8,HAS_UNIT,空调
别克GL8,HAS_UNIT,传感器
空调,COMPOSED_OF,传感器
杰德,HAS_UNIT,发动机
唐新能源,HAS_UNIT,电池
唐新能源,HAS_UNIT,电机
唐新能源,HAS_UNIT,发动机
君威,HAS_UNIT,发动机
君威,HAS_UNIT,传感器
燃油泵,COMPOSED_OF,变速箱
阿特兹,HAS_UNIT,转向机
威朗,HAS_UNIT,变速箱
速腾,HAS_UNIT,轴承
变速箱,COMPOSED_OF,轴承
揽胜,HAS_UNIT,发动机
奥迪Q2L,HAS_UNIT,变速箱
奥迪Q2L,HAS_UNIT,发动机
水泵,UNIT_FAILURE,高温
名爵5,HAS_UNIT,变速箱
名爵5,HAS_UNIT,发动机
转速,FEATURE_FAILURE,降低
转速,FEATURE_FAILURE,报警
迈腾,HAS_UNIT,传感器
迈腾,HAS_UNIT,水泵
温度,FEATURE_FAILURE,高温
荣威i5,HAS_UNIT,轴承
威朗,HAS_UNIT,发动机
领克06,HAS_UNIT,变速箱
领克06,HAS_UNIT,电池
领克06,HAS_UNIT,电机
领克06,HAS_UNIT,发动机
皓影,HAS_UNIT,变速箱
皓影,HAS_UNIT,发动机
瑞虎8 PLUS,HAS_UNIT,变速箱
瑞虎8 PLUS,HAS_UNIT,发动机
星瑞,HAS_UNIT,发动机
奇骏,HAS_UNIT,传感器
本田XR-V,HAS_UNIT,发动机
本田XR-V,HAS_UNIT,传感器
宝骏530,HAS_UNIT,传感器
祥菱V,HAS_UNIT,发动机
祥菱V,HAS_UNIT,传感器
标致308,HAS_UNIT,变速箱
悦纳,HAS_UNIT,发动机
V3菱悦,HAS_UNIT,传感器
转速,FEATURE_FAILURE,异响
逍客,HAS_UNIT,电机
五菱宏光S3,HAS_UNIT,空调
大迈X5,HAS_UNIT,发动机
EV系列,HAS_UNIT,控制器
电机,COMPOSED_OF,控制器
温度,FEATURE_FAILURE,漏油
温度,FEATURE_FAILURE,断裂
阿特兹,HAS_UNIT,电机
红旗HS5,HAS_UNIT,转向机
红旗H9,HAS_UNIT,发动机
功率,FEATURE_FAILURE,漏油
功率,FEATURE_FAILURE,高温
传祺M6,HAS_UNIT,电机
威兰达,HAS_UNIT,差速器
爱丽舍,HAS_UNIT,空调
传感器,COMPOSED_OF,差速器
风光500,HAS_UNIT,变速箱
变速箱,UNIT_FAILURE,卡死
宝马5系,HAS_UNIT,冷却系统
星越,HAS_UNIT,发动机
艾瑞泽5,HAS_UNIT,变速箱
冠道,HAS_UNIT,电机
转向机,COMPOSED_OF,助力泵
雷凌,HAS_UNIT,变速箱
雷凌,HAS_UNIT,轴承
蒙迪欧,HAS_UNIT,电机
迈锐宝XL,HAS_UNIT,转向机
伊兰特,HAS_UNIT,发动机
福睿斯,HAS_UNIT,发动机
沃尔沃S90,HAS_UNIT,发动机
魏牌 VV6,HAS_UNIT,发动机
魏牌 VV6,HAS_UNIT,助力泵
凯迪拉克CT6,HAS_UNIT,变速箱
本田UR-V,HAS_UNIT,变速箱
途胜,HAS_UNIT,发动机
东风风神E70,HAS_UNIT,传感器
电流,FEATURE_FAILURE,异响
远景X3,HAS_UNIT,转向机
途铠,HAS_UNIT,变速箱
长安UNI-K,HAS_UNIT,变速箱
奔驰GLC,HAS_UNIT,发动机
帝豪GL,HAS_UNIT,变速箱
五菱宏光,HAS_UNIT,电池
温度,FEATURE_FAILURE,无法启动
蒙迪欧,HAS_UNIT,传感器
科沃兹,HAS_UNIT,转向机
飞度,HAS_UNIT,传感器
阿特兹,HAS_UNIT,助力泵
助力泵,UNIT_FAILURE,抖动
助力泵,UNIT_FAILURE,漏油
助力泵,UNIT_FAILURE,异响
众泰T600,HAS_UNIT,传感器
远景S1,HAS_UNIT,变速箱
远景S1,HAS_UNIT,发动机
领界,HAS_UNIT,电池
帅客,HAS_UNIT,发动机
帅客,HAS_UNIT,传感器
科鲁泽,HAS_UNIT,变速箱
科鲁泽,HAS_UNIT,传感器
传感器,UNIT_FAILURE,异响
昂科拉,HAS_UNIT,发动机
凯美瑞,HAS_UNIT,电机
名爵6,HAS_UNIT,轴承
长安CS55 PLUS,HAS_UNIT,变速箱
启辰D60,HAS_UNIT,发动机
凯美瑞,HAS_UNIT,空调
本田CR-V,HAS_UNIT,电池
小蚂蚁,HAS_UNIT,电池
小蚂蚁,HAS_UNIT,空调
电池,COMPOSED_OF,空调
颐达,HAS_UNIT,发动机
几何E,HAS_UNIT,空调
空调,UNIT_FAILURE,降低
雅阁,HAS_UNIT,轴承
马自达CX-4,HAS_UNIT,电机
哈弗大狗,HAS_UNIT,发动机
YARiS L 致享,HAS_UNIT,发动机
天籁,HAS_UNIT,变速箱
歌诗图,HAS_UNIT,发动机
帕萨特,HAS_UNIT,空调
炮,HAS_UNIT,传感器
奥迪Q7,HAS_UNIT,发动机
锐界,HAS_UNIT,差速器
长安UNI-T,HAS_UNIT,发动机
长安UNI-T,HAS_UNIT,传感器
Model 3,HAS_UNIT,转向机
宝马X5,HAS_UNIT,转向机
几何E,HAS_UNIT,电池
几何E,HAS_UNIT,动力电池
哈弗大狗,HAS_UNIT,传感器
全新胜达（进口）,HAS_UNIT,发动机
全新胜达（进口）,HAS_UNIT,传感器
长安CS55,HAS_UNIT,变速箱
长安CS55,HAS_UNIT,传感器
唐,HAS_UNIT,发动机
迈锐宝XL,HAS_UNIT,电机
众泰T700,HAS_UNIT,变速箱
众泰T700,HAS_UNIT,发动机
速腾,HAS_UNIT,转向机
转速,FEATURE_FAILURE,熄火
坦克300,HAS_UNIT,差速器
瑞风S3,HAS_UNIT,发动机
速锐,HAS_UNIT,空调
奔腾T77,HAS_UNIT,变速箱
科鲁兹,HAS_UNIT,传感器
瑞风S5,HAS_UNIT,变速箱
迈腾GTE插电混动,HAS_UNIT,发动机
唐新能源,HAS_UNIT,动力电池
缤越,HAS_UNIT,轴承
标致308,HAS_UNIT,传感器
沃尔沃XC60,HAS_UNIT,电池
凌派,HAS_UNIT,分离器
捷达VS5,HAS_UNIT,传感器
星瑞,HAS_UNIT,控制器
功率,FEATURE_FAILURE,无法启动
君威,HAS_UNIT,变速箱
变速箱,UNIT_FAILURE,熄火
博越,HAS_UNIT,发动机
压力,FEATURE_FAILURE,熄火
远景X3,HAS_UNIT,轴承
科鲁兹,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,发动机
瑞纳,HAS_UNIT,传感器
马自达CX-30,HAS_UNIT,变速箱
炮,HAS_UNIT,变速箱
哈弗F7,HAS_UNIT,电池
长安UNI-K新能源,HAS_UNIT,电池
长安UNI-K新能源,HAS_UNIT,动力电池
哈弗初恋,HAS_UNIT,发动机
奥德赛,HAS_UNIT,发动机
奥德赛,HAS_UNIT,传感器
江淮iEVS4,HAS_UNIT,电池
起亚K3,HAS_UNIT,电机
Model Y,HAS_UNIT,转向机
哈弗H6,HAS_UNIT,电机
捷豹XE,HAS_UNIT,发动机
哈弗H2,HAS_UNIT,轴承
科莱威CLEVER,HAS_UNIT,电池
科莱威CLEVER,HAS_UNIT,动力电池
绅宝D50,HAS_UNIT,轴承
绅宝D50,HAS_UNIT,转向机
绅宝D50,HAS_UNIT,助力泵
汉兰达,HAS_UNIT,电池
启辰D60,HAS_UNIT,变速箱
本田XR-V,HAS_UNIT,变速箱
RAV4荣放,HAS_UNIT,空调
空调,UNIT_FAILURE,漏油
ZEEKR 001,HAS_UNIT,电机
捷达VA3,HAS_UNIT,发动机
捷达VA3,HAS_UNIT,传感器
瑞风S3,HAS_UNIT,冷却系统
瑞风S3,HAS_UNIT,传感器
冷却系统,UNIT_FAILURE,高温
传感器,UNIT_FAILURE,高温
秦,HAS_UNIT,发动机
库斯途,HAS_UNIT,发动机
别克GL8,HAS_UNIT,燃油泵
别克GL8,HAS_UNIT,发动机
秦,HAS_UNIT,电机
哈弗H9,HAS_UNIT,发动机
魏牌 VV7,HAS_UNIT,传感器
皓影,HAS_UNIT,转向机
翼虎,HAS_UNIT,变速箱
翼虎,HAS_UNIT,发动机
捷途X90,HAS_UNIT,变速箱
锐志,HAS_UNIT,发动机
朗逸,HAS_UNIT,电机
风光500,HAS_UNIT,发动机
风光500,HAS_UNIT,轴承
发动机,COMPOSED_OF,轴承
奥迪A8,HAS_UNIT,发动机
电机,UNIT_FAILURE,熄火
英仕派,HAS_UNIT,变速箱
长安CS55,HAS_UNIT,发动机
梦想家,HAS_UNIT,传感器
奔奔E-Star,HAS_UNIT,电池
奔奔E-Star,HAS_UNIT,动力电池
奥迪A4,HAS_UNIT,发动机
亚洲狮,HAS_UNIT,发动机
标致408,HAS_UNIT,转向机
奥迪A6L,HAS_UNIT,电机
电压,FEATURE_FAILURE,熄火
昂科威,HAS_UNIT,传感器
传感器,COMPOSED_OF,转向机
海豚,HAS_UNIT,空调
雅阁,HAS_UNIT,冷却系统
雅阁,HAS_UNIT,水泵
探岳,HAS_UNIT,燃油泵
燃油泵,UNIT_FAILURE,熄火
比亚迪F3,HAS_UNIT,发动机
比亚迪F3,HAS_UNIT,传感器
东风EV新能源EX1,HAS_UNIT,电机
哈弗神兽,HAS_UNIT,发动机
奔腾X40,HAS_UNIT,空调
宝马6系GT,HAS_UNIT,发动机
宝马6系GT,HAS_UNIT,空调
奔驰C级,HAS_UNIT,冷却系统
奔驰C级,HAS_UNIT,水泵
本田XR-V,HAS_UNIT,空调
福美来,HAS_UNIT,传感器
威朗,HAS_UNIT,传感器
宝骏730,HAS_UNIT,电池
凯越,HAS_UNIT,电池
宝骏360,HAS_UNIT,转向机
小蚂蚁,HAS_UNIT,动力电池
科沃兹,HAS_UNIT,发动机
科沃兹,HAS_UNIT,传感器
北汽新能源EU,HAS_UNIT,电池
北汽新能源EU,HAS_UNIT,动力电池
型格,HAS_UNIT,传感器
蒙迪欧,HAS_UNIT,电池
帕萨特,HAS_UNIT,电机
AION Y,HAS_UNIT,轴承
AION Y,HAS_UNIT,转向机
森雅R7,HAS_UNIT,转向机
艾瑞泽5 PLUS,HAS_UNIT,发动机
艾瑞泽5 PLUS,HAS_UNIT,助力泵
威然,HAS_UNIT,空调
吉利GX7,HAS_UNIT,变速箱
吉利GX7,HAS_UNIT,传感器
熊猫,HAS_UNIT,转向机
熊猫,HAS_UNIT,助力泵
转向机,UNIT_FAILURE,熄火
奥迪A3,HAS_UNIT,发动机
本田CR-V,HAS_UNIT,空调
